S.no,Bug Summary,Screen Name,Sevirity,QA Status,Dev Status,Assigned To
DA 82,default size of dive type icon is large compared to client screen . ,dive details,Low,Closed Fixed,Fixed,
DA 83,UI Alignment is incorrect in User Experience.,dive details,Low,Closed Fixed,Not a Bug,
DA 84,Dimension of image is small compared to client screen . should be more bold ,dive details,Low,Reopen,Fixed,
DA 85,dummy text is displayed when user open an image ,images ,medium,Closed Fixed,Fixed,
DA 87,likes count cannot be -3 in any case . ,COMMENTS ,medium,Closed Fixed,Fixed,Rahul singh
DA 88,"Most of the fields in comment screen like time , location , separator , user 
picture dimension are incorrect and not aligned as they should have been . ",Comments,low,Reopen,Fixed,
DA 89,vertically dummy white spaces seen .,change password ,low,Closed Fixed,Fixed,
DA 90,white space in Map ,Map ,medium`,Closed Fixed,Fixed,
DA 91,filter is still not showing accurate information . ,filter,high,Closed Fixed,Fixed,
DA 92,"when user tap on login with facebook , screen gets hang for 4-5 seconds and then 
comes the facebook access pop up . ",login withfacebook ,high,Closed Fixed,Fixed,
DA 93,"everytime the facebook access for photos pop up is thrown , which is incorrect ",Login with facebook,medium,Closed as Not a Bug,Not a Bug,
DA 94,"if user leaves email field blank and tap on send me link button , the 
pop up text is incorrect .",forgot password ,Low,Reopen,Fixed,
DA 95,"screen hold for 5-6 seconds and send me link button stays highlighted when user 
tap on send me link button ",forgot button ,low,Closed Fixed,Not a Bug,
DA 96,Terms and conditions not aligned properly ,sign up ,low,Reopen,,
DA 97,comments count 0 should not be displayed ,comments ,low,Closed Fixed,Fixed,
DA 98,dive operator << Text should be cetered aligned to world map ,dive operator ,low,Closed Fixed,,
DA 99,"Like button response time is not good , its not working well either . 
",dive detail,Medium,Reopen,Fixed,
DA 100,share button is not working ,dive details,Low,Reopen,Not a Bug,
DA 101,Search functionality on dive type list is not working .Moreover the keyboard doesnt get away and restrict the user to not  to go back ,dive type list ,Medium,open ,Fixed,
DA 102,cell selection should not be there . ,dive type list ,Low,Closed Fixed,Not a Bug,
,version 1.3 ,,,,,
DA 103,Profile picture is displayed at different angles in My profile and edit Profile.,My Profile,Medium,open,Fixed,
DA 104,image distortion while opening ,Images,medium`,open,Not a Bug,
DA 105,"if user leaves email field blank and tap on send me link button , the pop up 
generate twice .",Reset Password ,low,open ,Fixed,
DA 106,Reset password back button shape is different . ,Reset password ,low,open ,Fixed,
DA 107,"search border color dont match with existing design and cross button is 
not centered aligned . ",Dive Type ,low,open,Fixed,
DA 108,maximum distance functionality is incorrect .,filter ,medium ,open ,Fixed,
DA 109,on tapping login button and keeping all fields blank results in rendering pop up ,HOme Screen ,Low,Open,Not a Bug,
DA 110,very slow performance on ipod while navigating from splash  to landing screen ,LAnding ,high,Open,,
DA 111,"last login data of facebook is shown when tapping on sign up with facebook button , 
even if the user logouts from facebook the problem persists . ",Sign up with facebook ,high,open,,
DA 112,terms and conditions alignment very improper shown in Ipod ,Sign up with facebook ,medium ,open ,Fixed,
DA 113,"maximum depth functionality and distance and ls incorrect , as it does not filter 
correctly ",Filter ,high,open,Fixed,
DA 114,"when filter is on , the background is still clickable . ",filter ,high,open ,Fixed,
DA 115,image alignemnt is incorrect .,IMAGE ,LOW,OPWN,Fixed,
DA 116,"POP UP SHOULD BE ROUNDED FROM EVERYWHERE  WHEN USER TAP ON 
PLUS BUTTON ",IMAGE ,LOW,OPEN ,Fixed,
DA 117,,,,,,
