S.No,Bug Description,Screen Name ,Bug Type,Bug Status,Comments Developer
28,"Like and Comment count should be displayed with Icons 

Steps - Proceed to the Likes and Comment screen 
b) Redirect backto the cause detail screen 
c) Again , ",Cause > Comments screen ,,,
30,"daily . weekly.......nothing should be displayed pre-selected on the screen initially

Apply Till date message ->>> Please enter till date",Subscription > recurring,change,,
31,"Added count is wrong , i added 100$ but on raised amount and REPORT SCreen it showing 382 , before it was 372","Subscription > recurring, REPORT",,,
32,DONATION Stautus Progress bar -> progress bar should displayed with color on donate the amount and it keeps increasing everytime,Cause detail,,,
33,"Total amount raised + Donated amount -> Total amount 

DONATED amount and total amount is Not CORRECT",Cause detail,,,
34,"a) Due to wrong displayed donated amount on Cause detail screen , On report listing screen , listed cause AMOUNT is also WRONG
b) Total Amount is not equal to listed Cause amount
c) Use proper message for date field
d) ) Between Amount and ""$"" , space shouldn't be displayed
e) Minimize space between cause name and location",Report Screen,,,
35,Report date filter is not working,Report Screen > date filter,backend,,
36,Date format to be allowed should be YYYY-MM-DD,Subscription screen ,recommendation,,
37,Remove today Calendar,List Subscription ,recommendation,,Resolved
38,Subscription edited successfully -> message should be displayed on save the edited subscription,List Subscription > Edit > SAve,,,
39,"a) Password field should not accepts spaces 
b) password should case sensitive",Settings,,,Resolved
40,"Cancelled subscription showing again on screen on kill the
 application",List Subscription,,,
41,Setting screen should be same for both the platform,Settings,,,
